" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
     Services , 147.4 , 140.5 , 139 , 131.7 , 140.8 , 138.5 , 137.3 , 148.3 , 142.7 , 150.8 , 159.4 , 157.8 , 151.6 , 152 , 153.5 , 162.7 , 162.3 , 159.8 , 159.4 , 168.3 , 174.5 , 172.6 , 166.4 , 171.4 , 178.4 , 186.5 , 201.7 , 194.6 , 200.5 , 203.3 ,
         Wholesale & Retail Trade * , 43.6 , 50.5 , 51.4 , 45.9 , 48.6 , 31.4 , 44.7 , 39.6 , 29.5 , 30.5 , 33.9 , 29.6 , 28 , 26.3 , 29 , 35.3 , 28.4 , 27.8 , 22.9 , 23.9 , 24.8 , 25.7 , 22 , 24.4 , 26.6 , 28 , 28.6 , 27.1 , 28.1 , 27.1 ,
         Transportation & Storage * , 17.5 , 21.4 , 19.2 , 19.9 , 20.6 , 17.2 , 18.8 , 22.6 , 20.5 , 21.5 , 17.3 , 23.5 , 21 , 18.6 , 16.8 , 13.9 , 14.4 , 14.6 , 14.5 , 15 , 17 , 14.8 , 15.4 , 14.7 , 14.5 , 13.4 , 13.8 , 14.4 , 16.4 , 18.8 ,
         Accommodation & Food Services , 11.8 , - , - , - , - , 8 , - , - , 7.3 , 7.6 , 7.4 , 6.9 , 7 , 7.5 , 7.2 , 7.2 , 8.5 , 8.7 , 7.3 , 9 , 8 , 8.2 , 7.4 , 8.9 , 8.7 , 9.6 , 9.7 , 7.7 , 9.8 , 7.8 ,
         Information & Communications , 4.6 , - , - , - , - , 7.3 , - , - , - , - , 14.6 , - , - , - , - , 14.1 , 13.9 , 15.8 , 14.8 , 16.3 , 17.7 , 13.3 , 11.1 , 11.4 , 11.8 , 11.2 , 12.9 , 12.5 , 13.1 , 15.4 ,
         Financial & Insurance Services * , 14.4 , 31.6 , 31.4 , 31.2 , 36.9 , 16.3 , 40.3 , 50.2 , 19.3 , 18.6 , 19.4 , 17.4 , 17 , 15.4 , 15.2 , 16.9 , 18.2 , 17.7 , 21.8 , 21.5 , 23.4 , 25.4 , 24.4 , 22.5 , 23.5 , 26.2 , 27.6 , 27.7 , 27.6 , 29.8 ,
         Business Services , 21.2 , - , - , - , - , 24.3 , - , - , 28.5 , 32.1 , 27.5 , 37 , 33.9 , 32.9 , 32.4 , 27.5 , 26.7 , 26.7 , 26.4 , 31.9 , 29.2 , 28.6 , 31.7 , 30.3 , 35.5 , 36.1 , 39.5 , 37.8 , 39.3 , 38.2 ,
             Real Estate Services , 5.4 , - , - , - , - , 5.8 , - , - , - , - , 5.9 , - , - , - , - , 5 , 3.8 , 3.8 , 3.8 , 4.9 , 3.9 , 5 , 5.2 , 3.2 , 5.3 , 4.8 , 4.7 , 4.1 , 4.2 , 3.3 ,
             Professional Services , 10.6 , - , - , - , - , 13.9 , - , - , - , - , 15.9 , - , - , - , - , 16.3 , 17.3 , 15.9 , 15.5 , 19.8 , 17.7 , 16.3 , 18.4 , 19.1 , 22 , 23 , 24.8 , 24.5 , 24.6 , 25.7 ,
             Administrative & Support Services , 5.2 , - , - , - , - , 4.7 , - , - , - , - , 5.7 , - , - , - , - , 6.1 , 5.6 , 7 , 7.1 , 7.2 , 7.6 , 7.3 , 8.1 , 8 , 8.2 , 8.3 , 10 , 9.2 , 10.5 , 9.2 ,
